X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3;X4;Y4;Z4;X5;Y5;Z5;X6;Y6;Z6;X7;Y7;Z7;X8;Y8;Z8;X9;Y9;Z9;X10;Y10;Z10;X11;Y11;Z11;X12;Y12;Z12;X13;Y13;Z13;X14;Y14;Z14;X15;Y15;Z15;X16;Y16;Z16;X17;Y17;Z17;X18;Y18;Z18;X19;Y19;Z19;X20;Y20;Z20;Position
-5,828;8,779;0,897;9,996;0,693;-0,153;-3,33;-2,829;0,896;6,176;-3,741;0,231;-8,876;-3,473;-4,307;0,345;1,622;9,037;6,204;-7,713;-2,92;-3,452;5,874;9,32;8,943;9,259;-6,996;-1,834;5,995;7,914;-9,1;6,663;-1,951;6,902;6,401;2,39;-3,662;9,18;0,983;-2,309;7,241;9,014;3,097;-7,498;-2,47;-5,527;-9,733;-5,823;7,717;4,937;9,973;-3,997;2,508;4,455;-1,221;-7,775;-3,165;4,401;1,356;3,13;4
-4,972;5,757;8,072;-4,503;-7,017;-7,797;-3,469;7,74;-9,226;9,857;-3,043;0,639;-2,308;-9,155;-4,681;-9,688;-2,732;3,085;3,396;-1,173;-8,359;9,628;4,589;1,588;4,953;-5,078;-4,139;-8,449;-0,668;-4,614;-8,413;7,793;4,615;0,976;-8,843;-2,08;-7,54;-3,728;4,359;-0,41;4,84;5,783;0,125;4,473;-9,097;4,831;-6,989;-9,042;6,673;-8,06;-1,34;-4,142;-2,026;-4,158;4,593;-2,783;-1,526;-6,351;-5,093;1,483;1
5,363;-0,336;7,199;4,246;6,703;9,215;-5,869;4,019;-6,01;-0,621;-7,349;-3,668;-7,426;5,948;0,893;3,997;2,626;-6,741;7,813;0,938;-0,24;-9,214;4,928;-4,249;3,572;-8,67;8,006;5,589;-9,1;9,092;-4,692;-1,376;4,255;-0,103;0,423;-5,644;-3,795;9,18;3,305;4,984;-5,33;-7,947;5,124;6,33;-2,14;-2,876;0,968;1,237;-7,603;-5,026;-0,059;-8,04;-3,89;4,664;0,558;2,797;-3,534;5,544;6,397;7,597;5
5,548;-4,935;-4,06;-4,33;-7,836;1,035;4,312;1,384;9,543;9,771;1,771;-3,887;-2,845;5,034;-8,77;5,947;6,665;0,852;2,103;-4,359;-3,429;-1,364;-7,164;-2,149;-7,91;5,15;0,829;7,273;-3,623;9,076;0,265;7,289;-5,72;0,266;8,154;-5,893;9,713;7,543;-1,64;5,262;-9,342;-5,533;3,091;-8,569;-0,85;-9,528;7,743;0,643;1,039;8,493;-0,614;4,377;1,799;1,435;-6,307;-1,52;-0,062;-9,668;5,755;-8,071;2
-4,122;2,004;-1,507;6,712;-3,112;-8,004;0,023;-0,304;2,886;8,805;8,879;-8,476;-7,65;-0,078;8,265;5,535;1,687;5,431;-8,53;-7,154;-0,953;3,452;-5,716;-9,296;-7,817;4,339;-8,728;-1,4;2,697;-9,675;-9,258;7,996;-4,086;-2,413;4,791;7,64;8,853;9,076;-5,191;0,992;1,674;3,441;2,132;-2,281;-5,051;-2,244;-5,585;2,955;5,62;-8,536;2,756;2,671;0,178;1,716;-9,617;7,057;-2,61;2,866;-9,814;-3,868;1
7,343;0,18;1,078;-7,359;-0,347;-2,72;8,982;8,878;-7,515;-4,742;-5,276;-6,375;-8,424;-4,381;9,652;-5,241;-9,917;9,02;-7,984;2,837;-0,622;9,883;-4,159;-7,086;-9,06;-9,277;6,89;3,085;3,732;8,984;-9,653;3,525;6,706;5,959;-9,908;7,288;5,835;3,084;-2,69;-1,887;4,466;9,527;-8,168;-9,283;7,559;-9,857;4,165;5,948;1,677;-8,52;-5,322;5,19;-8,389;1,587;-5,49;4,572;-6,695;1,759;-8,074;-4,103;4
3,231;-4,83;-7,43;-2,217;-0,84;6,121;7,77;-9,774;8,085;4,098;-8,873;-5,626;-2,776;-0,611;3,146;9,235;5,645;9,325;1,483;-2,767;5,494;-2,701;-4,739;-2,768;2,877;-9,283;-0,055;-1,285;5,154;6,588;5,377;1,092;6,614;-5,626;-7,824;4,588;1,646;0,477;-9,018;0,29;9,245;5,337;7,433;-1,169;6,764;0,206;1,485;-3,96;-7,571;8,636;-2,736;4,66;2,02;4,725;-5,506;0,289;-6,495;-2,661;5,099;-8,169;5
-2,977;9,159;-2,549;2,444;-1,718;0,335;-9,319;8,406;-8,773;-9,377;6,152;-8,413;-5,446;-7,673;0,258;-4,818;-5,273;-4,928;0,605;-6,253;-6,783;-8,641;-8,277;-4,04;-1,918;1,732;-9,642;1,953;3,402;-7,88;-8,435;-1,38;9,714;2,502;3,749;-8,55;-9,083;0,56;5,541;9,323;-0,815;-7,836;0,495;-9,769;0,234;2,68;4,913;0,931;-3,524;0,77;-6,031;9,59;9,561;-8,743;8,807;6,828;9,421;-1,328;-3,75;-5,886;1
1,572;2,695;5,613;9,016;8,217;8,35;8,633;1,493;5,904;-6,381;-8,713;-3,766;1,804;8,823;-2,773;0,239;-4,383;-0,434;9,16;0,219;-4,552;-8,239;4,543;6,414;6,706;8,09;-7,355;6,132;7,811;-6,734;5,856;8,21;9,278;4,075;-8,306;6,873;-6,657;-1,123;1,351;7,556;-3,09;5,175;-8,796;-9,635;-7,056;7,192;7,467;-9,041;-8,079;8,21;-4,797;1,813;1,041;0,837;1,51;9,824;8,74;6,848;-5,987;-9,134;3
3,221;7,56;4,196;1,637;7,646;4,949;8,528;8,595;-7,991;8,29;3,382;-1,52;-6,529;-9,114;-9,491;-0,301;-6,526;1,734;0,382;-7,686;-8,592;0,91;7,473;-1,947;-1,584;9,76;-7,298;5,748;-7,981;8,618;0,594;-2,309;9,095;9,203;1,812;-8,497;-3,364;-5,681;8,489;9,828;5,343;2,402;-7,93;-6,65;9,757;7,018;6,573;8,454;-9,005;-5,22;-9,054;-4,066;-4,58;6,797;-8,523;-6,024;7,375;-8,954;-2,07;-2,4;2
-1,39;-1,185;0,158;6,943;3,663;-5,342;-2,809;-6,213;7,931;2,97;-0,934;-8,175;-4,435;0,923;-9,336;5,905;2,951;-5,821;0,566;3,116;7,827;-5,76;-4,176;3,708;-1,693;6,027;4,377;-1,992;9,917;-1,394;8,875;-2,577;-5,367;6,622;-4,442;-4,976;-8,802;1,61;7,359;-5,198;3,676;3,926;-8,538;9,667;-9,744;-5,395;-5,948;7,295;-7,266;-6,955;9,401;-1,616;8,492;-6,482;6,173;0,213;-1,259;1,845;0,764;2,854;3
0,427;4,361;7,328;-4,548;-0,099;-4,372;-2,433;-9,128;4,936;4,028;3,867;4,283;-2,229;0,455;4,961;-3,092;0,117;-1,23;-8,521;7,764;-9,756;-4,881;-6,352;5,653;2,093;1,518;-0,851;0,879;-5,934;-0,407;0,013;1,479;0,16;-2,487;6,704;9,826;-7,705;7,054;8,733;2,994;6,374;6,803;-1,165;6,68;-5,452;-8,152;9,758;2,718;-7,845;-5,409;-8,865;0,622;3,511;-7,297;-6,958;7,865;-0,766;2,929;7,909;2,547;2
4,574;6,926;-1,29;0,847;-2,3;8,542;5,428;9,35;4,529;9,334;-3,972;9,707;8,817;9,362;-3,476;2,766;-7,574;-2,753;-3,238;-6,509;-3,247;-9,039;4,425;1,874;-8,021;-5,41;1,203;-4,626;1,162;-2,271;-4,733;7,961;0,239;-2,59;6,975;-3,592;-1,691;-0,572;-8,144;-9,02;-7,606;2,622;-2,608;5,007;-8,034;-8,614;2,334;2,378;-9,382;7,614;1,279;-2,938;3,209;-0,57;-8,372;-9,878;-1,69;-9,105;-7,88;-8,104;1
-5,35;-3,009;9,811;9,471;-0,213;5,101;3,05;8,894;-4,542;3,298;8,296;-1,11;3,695;8,331;-7,864;5,618;-2,361;-0,207;5,154;1,37;4,409;6,151;-1,007;0,073;-5,284;9,824;5,886;3,421;1,724;3,783;-1,432;0,091;8,21;7,197;8,001;8,861;-8,314;0,726;-8,602;5,875;4,674;0,304;-1,733;8,769;-8,724;-6,452;3,593;-7,327;-3,013;9,067;6,999;-4,837;-1,306;9,611;-9,225;-3,097;0,538;-0,805;-2,736;4,122;2
-3,195;-7,01;8,117;9,96;-8,987;0,563;-8,677;-6,769;-5,245;-9,69;2,314;9,345;4,557;-3,176;-9,627;-7,913;3,021;-3,349;5,373;-0,918;3,441;-5,198;-5,283;7,028;4,029;0,302;-4,916;-7,834;1,246;-0,346;7,681;1,643;-7,884;-4,7;4,454;7,838;-8,636;3,282;-1,524;7,597;-3,408;-8,378;8,408;-0,844;-9,928;-7,019;-4,951;-4,318;0,104;6,517;9,419;-6,276;-4,812;-3,663;-6,581;2,401;0,84;0,12;3,278;-7,052;3
3,108;-1,076;-0,912;-0,204;3,337;-8,291;8,343;6,781;0,127;1,034;6,283;4,067;-1,755;-2,879;-2,908;7,859;-9,184;6,639;9,826;6,694;-4,768;4,792;-1,115;-8,934;-2,581;-0,743;-8,904;-3,496;-6,004;2,478;5,299;-5,268;-1,599;8,769;-2,309;-2,848;1,033;7,028;6,638;0,899;-5,284;-9,773;2,613;-7,149;-9,602;8,386;-4,48;4,306;1,347;-5,731;-4,113;2,955;-4,277;-6,555;-9,999;7,97;3,116;-6,133;9,806;-9,38;5
7,328;6,07;-9,985;-7,256;4,738;4,137;5,235;-8,1;-6,82;0,181;-3,721;-3,162;2,05;0,874;7,144;-5,458;-3,974;-4,58;-5,252;-0,29;-4,491;-4,781;-9,294;4,887;-5,591;9,491;-7,393;-9,135;-4,716;8,487;-5,88;-0,122;8,101;-9,843;4,687;-0,107;4,25;5,073;2,072;9,26;-6,786;4,266;-5,914;3,997;5,905;9,968;0,522;-5,877;6,286;1,142;8,702;2,166;3,941;-0,433;-0,058;7,767;-5,216;-3,343;1,635;-5,381;3
-4,5;-8,506;8,631;-6,01;-4,875;8,141;7,238;-4,555;3,783;2,534;8,853;1,074;-2,442;2,641;-2,509;-2,966;-5,471;-3,061;-7,999;0,198;6,881;-1,83;3,004;4,626;-9,427;5,942;7,41;2,005;-2,237;8,847;-1,011;9,301;9,493;8,717;-8,523;-2,255;-3,359;5,329;-8,602;3,475;-7,154;2,871;-7,297;6,525;-7,203;7,77;8,622;0,369;3,056;3,144;5,15;-4,686;-5,498;0,732;-5,862;-5,35;-0,489;7,154;9,791;8,059;2
-8,911;8,167;-7,398;1,833;-7,178;-7,396;2,621;-4,429;-8,978;7,436;1,112;-4,007;-6,714;-7,534;-0,378;7,258;-5,936;-6,31;8,37;-8,974;7,768;-0,611;0,068;5,627;4,735;-2,535;9,564;2,293;7,205;4,756;-0,501;9,55;-1,818;-0,872;-3,921;7,008;4,001;-0,428;-1,528;-6,605;-7,09;-3,45;-4,345;2,814;-6,568;5,149;9,693;7,622;3,34;-9,872;-2,573;-1,849;-1,96;9,954;-7,706;-7,678;8,866;-8,196;-9,267;-8,366;1
-1,122;-5,299;4,485;1,808;0,57;3,359;1,006;-3,609;-5,728;6,932;-8,932;-8,106;-0,917;-2,633;-9,797;-9,995;2,741;-1,722;-7,32;-6,535;8,483;4,664;-5,933;-0,76;9,799;4,09;3,02;-5,162;7,539;-8,232;4,98;2,833;-4,382;-1,537;-3,747;-2,408;-4,01;0,077;9,234;-0,351;-5,872;-8,476;5,141;-9,413;4,938;-8,057;-6,164;-2,125;-0,591;4,401;6,157;-3,624;-5,675;-9,416;5,027;1,595;-8,141;0,048;9,837;4,872;5
-4,199;8,285;-8,894;8,657;2,795;7,428;-0,959;-9,286;5,15;5,287;-8,884;4,522;2,586;-1,4;-6,168;2,568;-9,342;-3,406;-2,589;3,908;-8,424;-3,915;-0,644;0,106;-6,584;-0,607;-4,287;-5,365;-3,081;2,578;3,436;-8,603;-3,983;-3,225;8,912;4,617;-8,421;-1,291;7,941;-9,898;-2,455;-9,273;8,541;6,969;8,193;-9,522;-3,707;-0,251;5,138;-6,746;-3,59;-8,294;2,105;-9,672;-4,352;4,684;7,106;-5,368;-1,775;-2,088;5
-8,179;-0,673;6,824;-1,809;3,587;-6,253;-6,237;9,399;-9,475;7,22;-5,16;7,894;6,328;-6,969;7,854;7,289;-6,461;9,737;-9,111;-2,866;-1,992;-8,688;-3,987;-3,85;8,59;0,96;-9,091;-1,076;1,551;6,546;2,705;8,146;5,558;-4,525;-9,098;2,884;-8,904;-5,478;-2,27;-9,676;-3,378;-2,273;-2,994;8,961;-0,934;-5,515;-7,006;-4,513;-3,074;2,309;1,713;-8,472;-8,744;6,686;0,669;6,982;-1,825;-6,06;4,992;9,933;5
